ID,Category,EmotionType,RunID,ConList,ConID,ConLabel,BlockRep,TrialType,CB,ImageFile,FixISI
Faces_041_h,Faces,Negative,4,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_041_h.jpg,5.258
Objects_145_h,Objects,Negative,3,4,emo2,professional photo?,2,Old,A,Stimuli/Objects_145_h.jpg,1.262
Objects_276_h,Objects,Neutral,4,1,neu1,within SF?,2,Old,A,Stimuli/Objects_276_h.jpg,8.218
Faces_220_h,Faces,Neutral,3,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_220_h.jpg,2.814
Faces_017_h,Faces,Negative,2,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_017_h.jpg,2.814
Animals_203_h,Animals,Neutral,2,2,neu2,professional photo?,1,Old,A,Stimuli/Animals_203_h.jpg,3.582
Faces_028_h,Faces,Negative,4,3,emo1,within SF?,1,Old,A,Stimuli/Faces_028_h.jpg,2.814
Animals_038_h,Animals,Negative,4,3,emo1,within SF?,2,Old,A,Stimuli/Animals_038_h.jpg,4.855
Faces_027_h,Faces,Negative,1,3,emo1,within SF?,1,Old,A,Stimuli/Faces_027_h.jpg,4.855
Objects_022_h,Objects,Negative,5,3,emo1,within SF?,2,Old,A,Stimuli/Objects_022_h.jpg,1.496
Animals_121_h,Animals,Neutral,1,2,neu2,professional photo?,2,Old,A,Stimuli/Animals_121_h.jpg,0.51
Faces_014_h,Faces,Negative,4,4,emo2,professional photo?,1,Old,A,Stimuli/Faces_014_h.jpg,1.262
Faces_074_h,Faces,Neutral,4,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_074_h.jpg,3.52
Faces_048_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_048_h.jpg,0.5
Objects_007_h,Objects,Negative,1,3,emo1,within SF?,2,Old,A,Stimuli/Objects_007_h.jpg,5.478
Objects_143_h,Objects,Negative,6,3,emo1,within SF?,1,Old,A,Stimuli/Objects_143_h.jpg,5.258
Objects_002_h,Objects,Negative,2,4,emo2,professional photo?,2,Old,A,Stimuli/Objects_002_h.jpg,8.218
Objects_117_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_117_h.jpg,0.5
